sub_category,product_id,cost_price,list_price,quantity,discount_percent,profit,discount,sales_price
Art,OFF-AR-10002053,10,10,5,5,1.0,1.0,12.0
Storage,OFF-ST-10002370,20,20,1,4,2.0,2.0,24.0
Envelopes,OFF-EN-10000927,180,200,7,3,18.0,18.0,216.0
Storage,OFF-ST-10003656,210,230,3,2,21.0,21.0,252.0
Chairs,FUR-CH-10000863,260,300,2,5,26.0,26.0,312.0
Accessories,TEC-AC-10001998,20,20,1,5,2.0,2.0,24.0
Labels,OFF-LA-10000134,10,10,2,5,1.0,1.0,12.0
Storage,OFF-ST-10003442,140,160,7,5,14.0,14.0,168.0
Art,OFF-AR-10004930,20,20,3,2,2.0,2.0,24.0
Phones,TEC-PH-10004093,60,70,2,2,6.0,6.0,72.0
Paper,OFF-PA-10000304,10,10,1,2,1.0,1.0,12.0
Paper,OFF-PA-10003177,10,10,2,2,1.0,1.0,12.0
Furnishings,FUR-FU-10003799,50,50,3,5,5.0,5.0,60.0
Binders,OFF-BI-10002852,20,30,2,3,2.0,2.0,24.0
Binders,OFF-BI-10004738,10,10,1,2,1.0,1.0,12.0
Furnishings,FUR-FU-10000629,80,100,7,5,8.0,8.0,96.0
Binders,OFF-BI-10001721,40,50,3,4,4.0,4.0,48.0
Appliances,OFF-AP-10000358,70,80,6,3,7.0,7.0,84.0
Paper,OFF-PA-10003256,60,60,7,3,6.0,6.0,72.0
Accessories,TEC-AC-10001767,80,100,3,5,8.0,8.0,96.0
Binders,OFF-BI-10002609,0,0,3,3,0.0,0.0,0.0
Paper,OFF-PA-10004040,20,20,4,4,2.0,2.0,24.0
Accessories,TEC-AC-10001552,220,240,6,3,22.0,22.0,264.0
Furnishings,FUR-FU-10004006,90,100,3,5,9.0,9.0,108.0
Binders,OFF-BI-10002794,30,40,3,5,3.0,3.0,36.0
Accessories,TEC-AC-10003499,60,70,8,5,6.0,6.0,72.0
Phones,TEC-PH-10002844,30,30,1,3,3.0,3.0,36.0
Art,OFF-AR-10000390,0,0,1,3,0.0,0.0,0.0
Accessories,TEC-AC-10000844,290,340,5,2,29.0,29.0,348.0
Furnishings,FUR-FU-10001934,30,40,2,2,3.0,3.0,36.0
Art,OFF-AR-10000380,70,80,2,3,7.0,7.0,84.0
Binders,OFF-BI-10003981,30,30,6,3,3.0,3.0,36.0
Fasteners,OFF-FA-10000621,40,40,14,2,4.0,4.0,48.0
Envelopes,OFF-EN-10002600,0,0,2,4,0.0,0.0,0.0
Paper,OFF-PA-10004965,20,20,3,4,2.0,2.0,24.0
Envelopes,OFF-EN-10002504,120,130,6,5,12.0,12.0,144.0
Tables,FUR-TA-10001768,720,790,3,4,72.0,72.0,864.0
Furnishings,FUR-FU-10002157,50,50,3,3,5.0,5.0,60.0
Binders,OFF-BI-10003910,20,30,4,2,2.0,2.0,24.0
Storage,OFF-ST-10000777,190,230,6,2,19.0,19.0,228.0
Envelopes,OFF-EN-10002500,110,120,9,4,11.0,11.0,132.0
Phones,TEC-PH-10003875,60,70,7,2,6.0,6.0,72.0
Chairs,FUR-CH-10004063,550,600,3,3,55.0,55.0,660.0
Tables,FUR-TA-10004534,540,620,6,4,54.0,54.0,648.0
Binders,OFF-BI-10003274,0,0,2,4,0.0,0.0,0.0
Storage,OFF-ST-10002974,200,240,7,4,20.0,20.0,240.0
Chairs,FUR-CH-10001146,70,80,2,2,7.0,7.0,84.0
Furnishings,FUR-FU-10003773,220,240,3,4,22.0,22.0,264.0
Phones,TEC-PH-10002293,50,60,5,3,5.0,5.0,60.0
Paper,OFF-PA-10002377,80,80,2,4,8.0,8.0,96.0
Fasteners,OFF-FA-10002780,20,20,9,5,2.0,2.0,24.0
Paper,OFF-PA-10001804,20,20,3,4,2.0,2.0,24.0
Paper,OFF-PA-10001736,30,40,1,5,3.0,3.0,36.0
Art,OFF-AR-10001149,10,10,4,5,1.0,1.0,12.0
Fasteners,OFF-FA-10002988,0,0,2,5,0.0,0.0,0.0
Binders,OFF-BI-10004781,70,80,3,2,7.0,7.0,84.0
Supplies,OFF-SU-10001218,60,70,6,5,6.0,6.0,72.0
Furnishings,FUR-FU-10001706,40,40,14,2,4.0,4.0,48.0
Furnishings,FUR-FU-10004848,60,80,2,2,6.0,6.0,72.0
Art,OFF-AR-10000940,10,10,3,3,1.0,1.0,12.0
Envelopes,OFF-EN-10004030,10,10,3,2,1.0,1.0,12.0
Paper,OFF-PA-10004327,130,140,3,5,13.0,13.0,156.0
Appliances,OFF-AP-10001058,780,840,3,2,78.0,78.0,936.0
Storage,OFF-ST-10003656,600,670,7,3,60.0,60.0,720.0
Furnishings,FUR-FU-10000521,80,90,4,4,8.0,8.0,96.0
Phones,TEC-PH-10000215,350,380,11,4,35.0,35.0,420.0
Phones,TEC-PH-10001448,140,150,3,5,14.0,14.0,168.0
Chairs,FUR-CH-10000454,1580,1950,8,3,158.0,158.0,1896.0
Binders,OFF-BI-10002735,150,170,5,4,15.0,15.0,180.0
Appliances,OFF-AP-10000326,140,160,5,5,14.0,14.0,168.0
Phones,TEC-PH-10001254,160,200,2,2,16.0,16.0,192.0
Paper,OFF-PA-10001950,50,60,7,4,5.0,5.0,60.0
Paper,OFF-PA-10002254,100,110,4,4,10.0,10.0,120.0
Storage,OFF-ST-10001590,60,80,6,4,6.0,6.0,72.0
Art,OFF-AR-10001547,10,10,3,3,1.0,1.0,12.0
Chairs,FUR-CH-10004063,380,460,2,2,38.0,38.0,456.0
Labels,OFF-LA-10002475,10,10,2,3,1.0,1.0,12.0
Phones,TEC-PH-10004536,870,940,7,5,87.0,87.0,1044.0
Paper,OFF-PA-10002751,10,10,1,4,1.0,1.0,12.0
Accessories,TEC-AC-10003657,40,50,2,5,4.0,4.0,48.0
Envelopes,OFF-EN-10001990,30,30,5,4,3.0,3.0,36.0
Binders,OFF-BI-10004002,20,30,2,3,2.0,2.0,24.0
Art,OFF-AR-10004441,10,10,3,5,1.0,1.0,12.0
Machines,TEC-MA-10000822,6850,8160,8,4,685.0,685.0,8220.0
Storage,OFF-ST-10000991,250,280,3,4,25.0,25.0,300.0
Chairs,FUR-CH-10004287,1620,1740,9,4,162.0,162.0,1944.0
Art,OFF-AR-10002656,30,30,6,4,3.0,3.0,36.0
Appliances,OFF-AP-10002518,150,180,5,2,15.0,15.0,180.0
Phones,TEC-PH-10003931,120,140,3,5,12.0,12.0,144.0
Paper,OFF-PA-10000659,20,20,3,2,2.0,2.0,24.0
Paper,OFF-PA-10001144,100,110,2,4,10.0,10.0,120.0
Chairs,FUR-CH-10003817,290,340,7,2,29.0,29.0,348.0
Appliances,OFF-AP-10000891,50,50,2,4,5.0,5.0,60.0
Labels,OFF-LA-10003148,20,20,4,5,2.0,2.0,24.0
Appliances,OFF-AP-10002684,90,100,4,2,9.0,9.0,108.0
Chairs,FUR-CH-10004698,370,400,7,5,37.0,37.0,444.0
Supplies,OFF-SU-10002189,20,20,5,3,2.0,2.0,24.0
Art,OFF-AR-10001940,0,0,1,5,0.0,0.0,0.0
Storage,OFF-ST-10003455,20,20,2,5,2.0,2.0,24.0
Accessories,TEC-AC-10004659,380,410,7,3,38.0,38.0,456.0
Phones,TEC-PH-10003273,470,500,4,5,47.0,47.0,564.0
Phones,TEC-PH-10004896,140,150,5,2,14.0,14.0,168.0
Accessories,TEC-AC-10002345,30,30,2,5,3.0,3.0,36.0
Binders,OFF-BI-10001890,10,10,2,2,1.0,1.0,12.0
Accessories,TEC-AC-10002323,160,180,8,3,16.0,16.0,192.0
Storage,OFF-ST-10001328,40,40,3,4,4.0,4.0,48.0
Paper,OFF-PA-10001950,20,20,3,3,2.0,2.0,24.0
Bookcases,FUR-BO-10002613,820,900,4,3,82.0,82.0,984.0
Phones,TEC-PH-10001552,60,70,6,4,6.0,6.0,72.0
Paper,OFF-PA-10000061,50,50,8,5,5.0,5.0,60.0
Bookcases,FUR-BO-10002545,520,630,3,2,52.0,52.0,624.0
Art,OFF-AR-10003514,20,20,5,3,2.0,2.0,24.0
Envelopes,OFF-EN-10001509,10,10,7,2,1.0,1.0,12.0
Art,OFF-AR-10004685,10,10,2,5,1.0,1.0,12.0
Art,OFF-AR-10004027,10,10,3,2,1.0,1.0,12.0
Storage,OFF-ST-10001414,40,50,3,5,4.0,4.0,48.0
Binders,OFF-BI-10000343,0,0,2,5,0.0,0.0,0.0
Paper,OFF-PA-10002749,20,20,3,2,2.0,2.0,24.0
Paper,OFF-PA-10002666,20,20,3,5,2.0,2.0,24.0
Tables,FUR-TA-10004289,200,220,2,3,20.0,20.0,240.0
Appliances,OFF-AP-10003622,0,0,1,5,0.0,0.0,0.0
Appliances,OFF-AP-10003217,60,70,2,2,6.0,6.0,72.0
Furnishings,FUR-FU-10002960,40,40,7,3,4.0,4.0,48.0
Phones,TEC-PH-10001918,370,440,4,3,37.0,37.0,444.0
Storage,OFF-ST-10000642,70,80,4,4,7.0,7.0,84.0
Phones,TEC-PH-10001700,120,130,2,3,12.0,12.0,144.0
Binders,OFF-BI-10003274,20,20,4,3,2.0,2.0,24.0
Fasteners,OFF-FA-10000134,50,50,9,2,5.0,5.0,60.0
Storage,OFF-ST-10001522,80,90,1,5,8.0,8.0,96.0
Accessories,TEC-AC-10001266,20,20,2,4,2.0,2.0,24.0
Labels,OFF-LA-10004544,20,20,2,4,2.0,2.0,24.0
Bookcases,FUR-BO-10004695,390,450,5,5,39.0,39.0,468.0
Phones,TEC-PH-10002844,50,60,3,3,5.0,5.0,60.0
Machines,TEC-MA-10000864,1040,1190,9,4,104.0,104.0,1248.0
Accessories,TEC-AC-10000109,80,90,2,5,8.0,8.0,96.0
Storage,OFF-ST-10001328,80,90,6,3,8.0,8.0,96.0
Phones,TEC-PH-10002563,250,300,3,4,25.0,25.0,300.0
Fasteners,OFF-FA-10000585,10,10,2,2,1.0,1.0,12.0
Paper,OFF-PA-10004000,20,20,6,4,2.0,2.0,24.0
Binders,OFF-BI-10002852,20,20,4,3,2.0,2.0,24.0
Furnishings,FUR-FU-10000087,60,70,4,3,6.0,6.0,72.0
Machines,TEC-MA-10001148,410,480,4,4,41.0,41.0,492.0
Art,OFF-AR-10001958,30,30,2,4,3.0,3.0,36.0
Art,OFF-AR-10001026,0,0,1,2,0.0,0.0,0.0
Tables,FUR-TA-10003748,510,620,5,2,51.0,51.0,612.0
Storage,OFF-ST-10002485,20,20,1,3,2.0,2.0,24.0
Chairs,FUR-CH-10004860,130,160,2,2,13.0,13.0,156.0
Chairs,FUR-CH-10004477,360,390,8,2,36.0,36.0,432.0
Binders,OFF-BI-10001679,20,20,7,5,2.0,2.0,24.0
Tables,FUR-TA-10001705,210,230,2,4,21.0,21.0,252.0
Tables,FUR-TA-10003473,510,620,3,4,51.0,51.0,612.0
Binders,OFF-BI-10001679,10,10,2,2,1.0,1.0,12.0
Furnishings,FUR-FU-10004017,250,260,3,5,25.0,25.0,300.0
Accessories,TEC-AC-10003832,500,620,3,4,50.0,50.0,600.0
Paper,OFF-PA-10002479,10,10,2,4,1.0,1.0,12.0
Paper,OFF-PA-10003349,30,30,5,4,3.0,3.0,36.0
Furnishings,FUR-FU-10000576,340,420,5,2,34.0,34.0,408.0
Furnishings,FUR-FU-10004351,10,10,3,2,1.0,1.0,12.0
Phones,TEC-PH-10000011,30,30,2,3,3.0,3.0,36.0
Tables,FUR-TA-10002607,150,180,5,3,15.0,15.0,180.0
Furnishings,FUR-FU-10002505,0,0,3,4,0.0,0.0,0.0
Art,OFF-AR-10004685,10,10,2,3,1.0,1.0,12.0
Chairs,FUR-CH-10004063,1620,2000,7,2,162.0,162.0,1944.0
Storage,OFF-ST-10002276,150,170,2,4,15.0,15.0,180.0
Paper,OFF-PA-10004082,40,50,6,5,4.0,4.0,48.0
Appliances,OFF-AP-10002945,1380,1500,5,5,138.0,138.0,1656.0
Paper,OFF-PA-10000061,20,30,4,3,2.0,2.0,24.0
Chairs,FUR-CH-10002965,300,320,2,5,30.0,30.0,360.0
Paper,OFF-PA-10004569,10,10,1,3,1.0,1.0,12.0
Accessories,TEC-AC-10003832,3050,3350,13,4,305.0,305.0,3660.0
Storage,OFF-ST-10001228,70,80,6,5,7.0,7.0,84.0
Envelopes,OFF-EN-10003296,330,360,4,4,33.0,33.0,396.0
Furnishings,FUR-FU-10002505,10,10,9,2,1.0,1.0,12.0
Storage,OFF-ST-10004804,70,80,2,2,7.0,7.0,84.0
Storage,OFF-ST-10001590,40,50,5,2,4.0,4.0,48.0
Phones,TEC-PH-10001580,590,650,6,4,59.0,59.0,708.0
Accessories,TEC-AC-10000290,20,20,3,5,2.0,2.0,24.0
Storage,OFF-ST-10002790,180,220,3,4,18.0,18.0,216.0
Binders,OFF-BI-10003460,20,20,5,5,2.0,2.0,24.0
Appliances,OFF-AP-10002203,0,0,2,2,0.0,0.0,0.0
Machines,TEC-MA-10000822,2690,3060,3,3,269.0,269.0,3228.0
Machines,TEC-MA-10003353,2170,2520,7,3,217.0,217.0,2604.0
Phones,TEC-PH-10001433,300,330,4,3,30.0,30.0,360.0
Accessories,TEC-AC-10004469,70,80,2,4,7.0,7.0,84.0
Art,OFF-AR-10003602,10,10,3,5,1.0,1.0,12.0
Fasteners,OFF-FA-10003472,10,10,6,2,1.0,1.0,12.0
Storage,OFF-ST-10004180,30,40,1,3,3.0,3.0,36.0
Envelopes,OFF-EN-10004386,50,60,3,3,5.0,5.0,60.0
Storage,OFF-ST-10003208,590,730,4,2,59.0,59.0,708.0
Accessories,TEC-AC-10003628,200,210,7,5,20.0,20.0,240.0
Furnishings,FUR-FU-10003274,10,10,3,4,1.0,1.0,12.0
Binders,OFF-BI-10002557,10,10,3,4,1.0,1.0,12.0
Paper,OFF-PA-10002615,10,10,2,3,1.0,1.0,12.0
Art,OFF-AR-10001427,10,10,1,2,1.0,1.0,12.0
Paper,OFF-PA-10000673,10,10,2,4,1.0,1.0,12.0
Paper,OFF-PA-10004470,20,20,4,2,2.0,2.0,24.0
Storage,OFF-ST-10000876,50,60,6,2,5.0,5.0,60.0
Labels,OFF-LA-10002043,20,20,3,5,2.0,2.0,24.0
Binders,OFF-BI-10004967,0,0,5,3,0.0,0.0,0.0
Phones,TEC-PH-10001760,1050,1110,7,3,105.0,105.0,1260.0
Tables,FUR-TA-10002903,950,1040,5,5,95.0,95.0,1140.0
Paper,OFF-PA-10000474,130,140,5,5,13.0,13.0,156.0
Accessories,TEC-AC-10001956,210,240,5,5,21.0,21.0,252.0
Paper,OFF-PA-10004100,30,30,6,5,3.0,3.0,36.0
Binders,OFF-BI-10000778,230,250,7,3,23.0,23.0,276.0
Appliances,OFF-AP-10002684,150,190,2,2,15.0,15.0,180.0
Supplies,OFF-SU-10000646,810,960,5,5,81.0,81.0,972.0
Fasteners,OFF-FA-10002983,20,20,7,5,2.0,2.0,24.0
Labels,OFF-LA-10004689,20,20,8,3,2.0,2.0,24.0
Accessories,TEC-AC-10002001,220,260,2,2,22.0,22.0,264.0
Bookcases,FUR-BO-10004709,80,90,3,4,8.0,8.0,96.0
Furnishings,FUR-FU-10004091,280,300,8,5,28.0,28.0,336.0
Chairs,FUR-CH-10001891,190,230,3,2,19.0,19.0,228.0
Furnishings,FUR-FU-10002918,180,220,3,2,18.0,18.0,216.0
Binders,OFF-BI-10004593,70,80,5,5,7.0,7.0,84.0
Fasteners,OFF-FA-10004854,30,30,3,3,3.0,3.0,36.0
Paper,OFF-PA-10002105,20,30,5,2,2.0,2.0,24.0
Storage,OFF-ST-10002756,930,1080,8,2,93.0,93.0,1116.0
Paper,OFF-PA-10004243,50,60,3,5,5.0,5.0,60.0
Furnishings,FUR-FU-10001861,70,80,4,4,7.0,7.0,84.0
Binders,OFF-BI-10002706,10,10,1,4,1.0,1.0,12.0
Tables,FUR-TA-10002533,180,220,3,4,18.0,18.0,216.0
Furnishings,FUR-FU-10002671,20,30,2,2,2.0,2.0,24.0
Art,OFF-AR-10003651,10,10,3,4,1.0,1.0,12.0
Binders,OFF-BI-10001072,50,50,3,5,5.0,5.0,60.0
Art,OFF-AR-10002135,250,290,6,4,25.0,25.0,300.0
Art,OFF-AR-10002804,0,0,1,3,0.0,0.0,0.0
Furnishings,FUR-FU-10001918,20,20,4,5,2.0,2.0,24.0
Chairs,FUR-CH-10004086,400,470,2,4,40.0,40.0,480.0
Furnishings,FUR-FU-10001756,20,20,1,4,2.0,2.0,24.0
Labels,OFF-LA-10000634,10,10,3,3,1.0,1.0,12.0
Furnishings,FUR-FU-10001588,80,90,3,2,8.0,8.0,96.0
Phones,TEC-PH-10002398,160,180,2,5,16.0,16.0,192.0
Paper,OFF-PA-10001937,20,20,3,5,2.0,2.0,24.0
Art,OFF-AR-10003373,90,100,4,2,9.0,9.0,108.0
Chairs,FUR-CH-10002602,120,140,1,2,12.0,12.0,144.0
Machines,TEC-MA-10002927,3670,3990,2,2,367.0,367.0,4404.0
Phones,TEC-PH-10004093,230,280,6,3,23.0,23.0,276.0
Accessories,TEC-AC-10000892,300,360,4,3,30.0,30.0,360.0
Storage,OFF-ST-10002974,40,40,1,2,4.0,4.0,48.0
Fasteners,OFF-FA-10000624,10,10,2,5,1.0,1.0,12.0
Binders,OFF-BI-10004593,220,250,6,5,22.0,22.0,264.0
Accessories,TEC-AC-10001908,80,100,1,3,8.0,8.0,96.0
Furnishings,FUR-FU-10001967,20,20,1,4,2.0,2.0,24.0
Phones,TEC-PH-10003645,270,290,3,3,27.0,27.0,324.0
Storage,OFF-ST-10000675,40,50,2,5,4.0,4.0,48.0
Chairs,FUR-CH-10003312,740,790,4,3,74.0,74.0,888.0
Labels,OFF-LA-10001074,90,100,10,2,9.0,9.0,108.0
Binders,OFF-BI-10001524,30,40,6,3,3.0,3.0,36.0
Phones,TEC-PH-10004614,70,80,2,3,7.0,7.0,84.0
Binders,OFF-BI-10001153,20,20,2,2,2.0,2.0,24.0
Binders,OFF-BI-10001982,0,0,3,3,0.0,0.0,0.0
Binders,OFF-BI-10001922,0,0,1,3,0.0,0.0,0.0
Copiers,TEC-CO-10001449,770,960,2,2,77.0,77.0,924.0
Binders,OFF-BI-10004140,10,10,4,2,1.0,1.0,12.0
Binders,OFF-BI-10003314,10,10,2,5,1.0,1.0,12.0
Tables,FUR-TA-10004575,570,700,3,4,57.0,57.0,684.0
Fasteners,OFF-FA-10000490,0,0,4,2,0.0,0.0,0.0
Art,OFF-AR-10000122,20,20,4,2,2.0,2.0,24.0
Binders,OFF-BI-10003656,450,510,10,4,45.0,45.0,540.0
Fasteners,OFF-FA-10002780,20,30,13,4,2.0,2.0,24.0
Phones,TEC-PH-10000702,60,70,12,4,6.0,6.0,72.0
Storage,OFF-ST-10000107,80,90,4,3,8.0,8.0,96.0
Phones,TEC-PH-10002293,50,50,3,2,5.0,5.0,60.0
Art,OFF-AR-10004027,10,10,3,4,1.0,1.0,12.0
Paper,OFF-PA-10000249,20,20,2,5,2.0,2.0,24.0
Art,OFF-AR-10001374,10,10,2,2,1.0,1.0,12.0
Accessories,TEC-AC-10000290,10,10,1,5,1.0,1.0,12.0
Paper,OFF-PA-10001970,20,20,2,5,2.0,2.0,24.0
Binders,OFF-BI-10002160,0,0,1,3,0.0,0.0,0.0
Paper,OFF-PA-10001970,50,50,4,3,5.0,5.0,60.0
Binders,OFF-BI-10004995,4140,4360,4,4,414.0,414.0,4968.0
Bookcases,FUR-BO-10002268,350,390,6,5,35.0,35.0,420.0
Envelopes,OFF-EN-10001137,10,10,2,5,1.0,1.0,12.0
Art,OFF-AR-10002399,20,20,4,3,2.0,2.0,24.0
Paper,OFF-PA-10002713,30,30,5,2,3.0,3.0,36.0
Paper,OFF-PA-10002666,30,40,5,4,3.0,3.0,36.0
Appliances,OFF-AP-10001124,600,650,8,3,60.0,60.0,720.0
Labels,OFF-LA-10001158,20,20,2,4,2.0,2.0,24.0
Labels,OFF-LA-10001158,20,20,2,2,2.0,2.0,24.0
Chairs,FUR-CH-10000785,460,490,3,4,46.0,46.0,552.0
Art,OFF-AR-10003732,10,10,2,2,1.0,1.0,12.0
Furnishings,FUR-FU-10000023,40,50,8,4,4.0,4.0,48.0
Storage,OFF-ST-10001713,200,210,4,5,20.0,20.0,240.0
Binders,OFF-BI-10002412,20,20,4,3,2.0,2.0,24.0
Supplies,OFF-SU-10001225,10,10,2,3,1.0,1.0,12.0
Storage,OFF-ST-10002406,90,100,7,3,9.0,9.0,108.0
Bookcases,FUR-BO-10002545,900,1040,4,5,90.0,90.0,1080.0
Paper,OFF-PA-10002036,30,30,5,5,3.0,3.0,36.0
Storage,OFF-ST-10002205,40,50,3,3,4.0,4.0,48.0
Binders,OFF-BI-10001982,10,10,5,3,1.0,1.0,12.0
Accessories,TEC-AC-10003911,870,1020,8,2,87.0,87.0,1044.0
Art,OFF-AR-10000658,10,10,1,2,1.0,1.0,12.0
Accessories,TEC-AC-10002076,410,480,10,4,41.0,41.0,492.0
Paper,OFF-PA-10003039,80,100,4,3,8.0,8.0,96.0
Tables,FUR-TA-10004915,1300,1490,7,2,130.0,130.0,1560.0
Appliances,OFF-AP-10000696,10,10,3,5,1.0,1.0,12.0
Storage,OFF-ST-10003327,20,20,3,3,2.0,2.0,24.0
Binders,OFF-BI-10000309,10,10,4,3,1.0,1.0,12.0
Paper,OFF-PA-10004734,40,50,7,5,4.0,4.0,48.0
Binders,OFF-BI-10002225,50,50,3,5,5.0,5.0,60.0
Accessories,TEC-AC-10004708,40,40,2,2,4.0,4.0,48.0
Tables,FUR-TA-10000617,330,380,3,4,33.0,33.0,396.0
Accessories,TEC-AC-10002335,70,80,3,3,7.0,7.0,84.0
Machines,TEC-MA-10001681,400,480,4,2,40.0,40.0,480.0
Furnishings,FUR-FU-10001935,0,0,1,5,0.0,0.0,0.0
Art,OFF-AR-10004757,0,0,1,2,0.0,0.0,0.0
Binders,OFF-BI-10000050,20,20,4,2,2.0,2.0,24.0
Accessories,TEC-AC-10001998,40,40,2,5,4.0,4.0,48.0
